IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:a393:46b2:724a:5923:8261,4,3,0.25,227.30,0.00
2606:4700::14:55d2:253a:6a2a,4,2,0.50,222.31,0.00
2606:4700::1d07:2156:1991:328d,4,2,0.50,222.74,0.00
2606:4700:0:a393:46f6:69eb:8579:e55e,4,2,0.50,224.86,0.00
2606:4700:0:a393:46f6:69eb:c382:2481,4,2,0.50,225.32,0.00
2606:4700:0:a393:46b2:4885:26cb:546f,4,2,0.50,226.27,0.00
2606:4700::c77a:fefe:b48:6cc5,4,2,0.50,233.11,0.00
2606:4700:0:3b:9afa:2e99:5447:d164,4,2,0.50,233.48,0.00
2606:4700:0:a393:ad63:4023:61ca:48ae,4,2,0.50,239.22,0.00
2606:4700:0:a393:1795:5a47:b10:627c,4,2,0.50,245.41,0.00
2606:4700::1d07:f4ab:7c08:730b,4,2,0.50,250.58,0.00
2606:4700:0:a393:46f6:69eb:c33a:4b21,4,2,0.50,250.61,0.00
2606:4700::1d07:2104:be12:d61a,4,1,0.75,204.84,0.00
2606:4700::1d07:2156:8e65:2917,4,1,0.75,206.96,0.00
2606:4700::d8:b6b7,4,1,0.75,207.34,0.00
2606:4700::c77a:fefe:bdd:a82b,4,1,0.75,208.47,0.00
2606:4700:0:a393:46b2:73c2:d276:9132,4,1,0.75,210.55,0.00
2606:4700:0:a393:1795:235a:856:6026,4,1,0.75,211.12,0.00
2606:4700:0:a393:4671:cad9:60f8:88f8,4,1,0.75,211.85,0.00
2606:4700:0:a313:6813:3f4e:f079:d2ee,4,1,0.75,211.90,0.00
2606:4700::1d07:21df:b0f8:9c20,4,1,0.75,211.97,0.00
2606:4700::c742:1a5c:5e34:7314,4,1,0.75,212.71,0.00
2606:4700:0:a393:46b2:72ca:818:9d51,4,1,0.75,213.46,0.00
2606:4700:0:3b:4e45:e8dd:b4f0:e45f,4,1,0.75,214.32,0.00
2606:4700:0:3b:9a2e:a179:c22f:bc1f,4,1,0.75,215.27,0.00
2606:4700::5c76:6090:ce07:26a,4,1,0.75,216.30,0.00
2606:4700:0:a393:4671:cad9:606e:2310,4,1,0.75,216.91,0.00
2606:4700:0:3b:9afa:2e99:54e8:d793,4,1,0.75,217.26,0.00
2606:4700:0:a393:46b2:73c2:d23a:796a,4,1,0.75,225.64,0.00
2606:4700:0:a393:1795:5a47:7248:442d,4,1,0.75,229.84,0.00
2606:4700::14:550b:666e:6bc,4,1,0.75,231.15,0.00
2606:4700::18:d8f1,4,1,0.75,231.53,0.00
2606:4700::c742:1a5f:8cae:88c0,4,1,0.75,232.17,0.00
2606:4700:0:a393:1795:235a:c72f:aea4,4,1,0.75,232.43,0.00
2606:4700::14:bb2f:b6b3:e530,4,1,0.75,233.49,0.00
2606:4700::1d07:f442:232b:5457,4,1,0.75,233.83,0.00
2606:4700:0:3b:9a2e:a1a6:aa27:fd20,4,1,0.75,234.29,0.00
2606:4700:0:3b:4e61:9bb8:415a:2e36,4,1,0.75,234.30,0.00
2606:4700:0:3b:4e61:9bb8:98e9:5f7,4,1,0.75,234.67,0.00
2606:4700:0:3b:4e61:866:2a3b:621e,4,1,0.75,235.25,0.00
