IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.222.219.140,4,4,0.00,235.04,0.01,SG
8.212.65.162,4,4,0.00,57.80,0.00,HK
8.218.70.238,4,4,0.00,60.09,0.00,HK
8.217.168.149,4,4,0.00,60.90,0.00,HK
47.242.218.87,4,4,0.00,61.57,0.00,HK
47.57.245.232,4,4,0.00,62.03,0.00,HK
8.212.14.90,4,4,0.00,62.62,0.00,HK
140.238.58.181,4,4,0.00,84.50,0.00,JP
150.230.198.167,4,4,0.00,85.91,0.00,JP
155.248.182.161,4,4,0.00,88.23,0.00,JP
150.230.204.132,4,4,0.00,88.26,0.00,JP
141.147.179.103,4,4,0.00,88.30,0.00,JP
155.248.184.204,4,4,0.00,88.75,0.00,JP
155.248.170.249,4,4,0.00,89.11,0.00,JP
155.248.169.118,4,4,0.00,91.21,0.00,JP
8.219.254.1,4,4,0.00,93.15,0.00,SG
8.219.243.132,4,4,0.00,93.34,0.00,SG
8.219.255.49,4,4,0.00,93.67,0.00,SG
8.219.153.31,4,4,0.00,93.80,0.00,SG
132.226.16.97,4,4,0.00,94.62,0.00,KR
8.219.228.81,4,4,0.00,96.43,0.00,SG
132.145.94.80,4,4,0.00,96.45,0.00,KR
8.219.97.248,4,4,0.00,96.56,0.00,SG
8.219.245.214,4,4,0.00,96.96,0.00,SG
146.56.110.3,4,4,0.00,99.97,0.00,KR
144.24.88.177,4,4,0.00,102.72,0.00,KR
152.70.234.185,4,4,0.00,125.59,0.00,KR
193.123.254.142,4,4,0.00,127.03,0.00,KR
144.24.140.37,4,4,0.00,147.82,0.00,IN
155.248.248.205,4,4,0.00,148.69,0.00,IN
141.148.203.6,4,4,0.00,149.49,0.00,IN
152.67.190.105,4,4,0.00,150.49,0.00,IN
152.70.253.44,4,4,0.00,153.28,0.00,KR
141.144.197.136,4,4,0.00,200.53,0.00,NL
140.238.31.168,4,4,0.00,210.30,0.00,KR
193.123.35.178,4,4,0.00,210.99,0.00,NL
150.230.63.93,4,4,0.00,211.00,0.00,JP
141.144.196.32,4,4,0.00,212.20,0.00,NL
47.254.86.133,4,4,0.00,219.81,0.00,US
129.151.198.3,4,4,0.00,223.99,0.00,SE
8.222.139.227,4,4,0.00,228.40,0.00,SG
129.153.203.62,4,4,0.00,228.58,0.00,US
152.69.209.132,4,4,0.00,229.27,0.00,SG
129.150.53.218,4,4,0.00,229.33,0.00,SG
168.138.165.174,4,4,0.00,229.46,0.00,SG
152.70.59.138,4,4,0.00,230.28,0.00,NL
8.222.165.104,4,4,0.00,234.59,0.00,SG
144.21.42.171,4,4,0.00,234.94,0.00,NL
8.212.12.98,4,4,0.00,58.16,0.00,HK
8.222.255.80,4,4,0.00,235.86,0.00,SG
150.230.123.106,4,4,0.00,237.39,0.00,GB
130.61.124.127,4,4,0.00,238.51,0.00,DE
143.47.181.217,4,4,0.00,244.03,0.00,NL
141.148.230.89,4,4,0.00,245.91,0.00,NL
150.230.146.170,4,4,0.00,253.52,0.00,DE
129.158.198.241,4,4,0.00,255.12,0.00,US
141.148.234.165,4,4,0.00,256.67,0.00,NL
141.148.235.197,4,4,0.00,263.94,0.00,NL
47.253.171.149,4,4,0.00,267.42,0.00,US
143.47.191.188,4,4,0.00,271.62,0.00,NL
143.47.189.30,4,4,0.00,273.66,0.00,NL
143.47.183.52,4,4,0.00,277.32,0.00,NL
152.67.142.42,4,4,0.00,278.12,0.00,GB
150.136.87.192,4,4,0.00,278.37,0.00,US
141.147.71.121,4,4,0.00,281.55,0.00,GB
143.47.235.216,4,4,0.00,282.61,0.00,GB
141.148.226.145,4,4,0.00,286.90,0.00,NL
143.47.185.27,4,4,0.00,287.43,0.00,NL
132.145.245.100,4,4,0.00,292.40,0.00,DE
144.21.43.236,4,4,0.00,293.68,0.00,NL
144.21.58.28,4,4,0.00,297.16,0.00,GB
130.162.189.64,4,4,0.00,298.02,0.00,GB
141.147.71.187,4,4,0.00,298.24,0.00,GB
143.47.247.120,4,4,0.00,298.41,0.00,GB
130.162.165.64,4,4,0.00,298.83,0.00,GB
150.230.121.114,4,4,0.00,299.02,0.00,GB
150.230.22.224,4,4,0.00,309.08,0.00,NL
144.22.252.124,4,4,0.00,383.67,0.00,BR
193.123.166.233,4,3,0.25,85.19,0.00,JP
155.248.178.95,4,3,0.25,89.35,0.00,JP
8.219.236.218,4,3,0.25,94.62,0.00,SG
8.219.63.79,4,3,0.25,95.02,0.00,SG
132.226.224.232,4,3,0.25,95.82,0.00,KR
152.70.240.162,4,3,0.25,96.67,0.00,KR
146.56.96.206,4,3,0.25,100.22,0.00,KR
8.220.134.136,4,3,0.25,114.01,0.00,PH
132.226.234.102,4,3,0.25,134.59,0.00,KR
141.144.198.93,4,3,0.25,180.22,0.00,NL
129.154.202.229,4,3,0.25,180.34,0.00,KR
47.251.95.178,4,3,0.25,220.06,0.00,US
8.222.213.251,4,3,0.25,225.86,0.00,SG
138.2.81.71,4,3,0.25,228.86,0.00,SG
8.222.169.19,4,3,0.25,232.97,0.00,SG
8.222.223.112,4,3,0.25,234.52,0.00,SG
152.67.140.249,4,3,0.25,242.81,0.00,GB
144.21.42.2,4,3,0.25,251.08,0.00,NL
141.148.245.210,4,3,0.25,252.05,0.00,NL
47.74.155.26,4,3,0.25,260.23,0.00,SG
130.162.209.188,4,3,0.25,272.59,0.00,DE
193.122.58.158,4,3,0.25,291.34,0.00,DE
141.147.64.114,4,3,0.25,297.18,0.00,GB
144.24.174.149,4,3,0.25,298.51,0.00,DE
130.162.163.93,4,3,0.25,299.66,0.00,GB
150.230.118.203,4,3,0.25,301.82,0.00,GB
130.162.174.117,4,3,0.25,303.59,0.00,GB
144.21.48.154,4,3,0.25,306.72,0.00,GB
192.9.180.162,4,3,0.25,429.49,0.00,AU
150.230.218.53,4,2,0.50,86.46,0.00,JP
8.219.153.71,4,2,0.50,92.36,0.00,SG
141.147.47.32,4,2,0.50,264.52,0.00,DE
